TF,RR,trades,winrate,pf,net
1m,3.0,1364,0.2683,0.9838,-139.21
3m,3.0,716,0.2779,1.0607,350.07
5m,3.0,527,0.2638,1.3254,1244.53
15m,2.5,379,0.3113,1.0605,272.25
30m,2.0,261,0.3678,1.1146,414.72
45m,2.0,213,0.3286,1.2803,893.28
1H,2.0,162,0.3889,1.7671,1890.95
2H,2.0,103,0.3981,1.7398,1462.5
3H,2.0,56,0.375,1.7784,978.29
4H,2.0,14,0.3571,1.4983,171.85
1D,1.0,0,0.0,0.0,0.0
